Year,Mon,day,Origin-Time - hr - (UTC),Origin-Time - min - (UTC),Origin-Time - sec - (UTC),Latitude - °N,Longitude - °E,Depth - (Km),Magnitude - (Richter scale)
2015,4,23,20,26,40,27.35,88.14,10,4
2015,4,23,23,58,21.6,12.17,94.57,30,5.1
2015,4,24,5,39,15,36.16,70.54,200,4.1
2015,4,24,6,20,46.9,36.38,68.3,100,4.4
2015,4,25,6,11,27.6,28.11,84.58,10,7.1
2015,4,25,6,45,24.2,28,84.81,5,6.5
2015,4,25,6,37,57.5,27.89,85.64,10,4.8
2015,4,25,6,56,36.4,28.16,85.9,10,5.4
2015,4,25,7,8,2.9,28.08,86.04,10,4.6
2015,4,25,7,39,35.5,27.45,85.57,5,4.3
2015,4,25,7,47,3.7,27.74,85.53,10,4.8
2015,4,25,8,5,39.7,27.61,85.72,10,4.6
2015,4,25,8,16,59.7,27.52,85.68,10,4.8
2015,4,25,8,20,46,26.64,84.61,10,4.7
2015,4,25,8,29,25.7,27.81,84.65,5,4.7
2015,4,25,8,49,10.3,27.62,85.02,5,4.3
2015,4,25,8,55,56.9,27.43,85.44,5,5.5
2015,4,25,9,17,3.4,28.4,87.19,8,5.4
2015,4,25,9,30,31.5,27.81,85.48,10,4.8
2015,4,25,9,43,3,27.97,85,10,4
2015,4,25,10,10,35.5,27.9,84.55,10,4
2015,4,25,10,23,19.6,27.52,85.67,10,4
2015,4,25,10,40,36.5,27.44,85.82,5,4.3
2015,4,25,10,53,45.5,27.66,85.82,10,4.2
2015,4,25,11,5,3.5,27.74,85.43,10,4
2015,4,25,12,1,12.8,27.79,85.75,5,4.1
2015,4,25,12,12,16.7,27.51,85.79,9,4.1
2015,4,25,12,17,57.5,27.37,85.26,10,4.4
2015,4,25,12,44,7.4,27.91,84.62,10,5.2
2015,4,25,13,30,30.7,27.85,85.07,10,4.5
2015,4,25,13,36,15.3,27.19,85.8,10,4.5
2015,4,25,14,10,5,27.47,85.77,10,4.2
2015,4,25,15,17,17.1,27.52,85.36,10,4
2015,4,25,16,27,24.1,27.83,85.57,10,4.6
2015,4,25,17,42,54,28.2,85.85,10,5.1
2015,4,25,18,58,35.7,27.55,85.35,10,4.1
2015,4,25,20,7,4.9,28.03,84.56,10,4.3
2015,4,25,20,32,49.9,27.58,85.9,10,4.2
2015,4,25,21,7,20.2,27.75,85.79,10,4.5
2015,4,25,23,16,16.7,27.78,84.93,10,5.2
2015,4,25,23,41,55.5,27.51,85.94,10,4.4
2015,4,26,2,48,40.7,28,84.52,10,4.2
2015,4,26,3,21,39.7,27.48,85.47,10,4.3
2015,4,26,4,58,41,27.94,84.82,10,4.1
2015,4,26,4,50,30.5,27.94,85.35,5,3.9
2015,4,26,4,58,41.2,27.99,84.84,5,4.3
2015,4,26,7,9,10.5,27.68,85.9,10,6.7
2015,4,26,7,26,6,27.59,85.83,10,4.8
2015,4,26,7,36,29.2,27.61,85.94,10,4.5
2015,4,26,7,50,28.2,27.73,85.97,10,3.9
2015,4,26,8,10,37.5,27.85,85.65,10,4.1
2015,4,26,8,40,58.2,27.69,85.93,10,4.6
2015,4,26,8,46,16.6,27.08,85.38,10,4.3
2015,4,26,9,14,30.1,35.88,68.04,100,4.4
2015,4,26,9,42,8.3,27.65,85.78,10,4.2
2015,4,26,13,11,16.7,27.73,85.51,10,4.2
2015,4,26,14,44,54.2,28.44,86.29,10,4.3
2015,4,26,14,57,4.5,28.08,84.73,10,4
2015,4,26,15,56,54.2,26.36,92.83,39,3.5
2015,4,26,16,26,7.5,27.63,85.74,10,5.4
2015,4,26,17,38,46.7,27.9,85.25,10,3.6
2015,4,26,18,6,36,27.77,85.48,10,3.2
2015,4,26,18,54,52,28.03,84.97,10,4.1
2015,4,26,20,39,21.7,27.88,85.79,10,4.1
2015,4,26,21,52,26.1,27.69,85.09,10,3.6
2015,4,26,22,32,36,27.52,85.66,10,4.1
2015,4,27,0,1,49.4,27.48,85.85,10,3.7
2015,4,27,0,39,15.5,27.09,84.69,10,3.8
2015,4,27,1,15,52.2,27.66,85.92,7,3.9
2015,4,27,4,14,46.9,28.12,85.14,10,4.1
2015,4,27,6,0,1.7,27.67,85.98,10,4
2015,4,27,12,35,51.4,26.84,88.1,10,5.2
2015,4,27,13,17,48.2,27.91,84.79,10,4.1
2015,4,27,14,42,39.5,27.63,85.67,10,4.2
2015,4,27,14,57,2.4,27.67,85.99,10,4
2015,4,27,15,51,46.7,27.52,85.17,10,4
2015,4,27,18,59,56,27.82,84.72,10,4.4
2015,4,27,20,21,58.2,31.64,83.88,10,3.3
2015,4,27,21,27,42.7,27.74,85.64,10,4
2015,4,27,22,26,8.3,27.9,84.53,10,4
2015,4,27,23,20,30.2,27.91,85.37,10,4.3
2015,4,28,5,3,25.1,37.17,71.79,175,5.2
2015,4,28,19,34,59.9,27.56,85.8,10,4
2015,4,28,21,44,26,27.63,85.68,10,3.7
2015,4,28,21,57,49.5,27.44,85.83,10,3.3
2015,4,29,0,48,15.8,26.85,92.47,6,3.6
2015,4,29,5,52,12.3,37.28,71.85,107,5
2015,4,29,9,39,17.2,27.62,84.73,10,4.1
2015,4,29,11,27,47.2,27.69,85.4,10,4.4
2015,4,29,17,16,36.4,27.77,85.52,10,4.1
2015,4,29,22,10,54.5,28.06,87.26,10,4.2
2015,4,30,0,37,12.8,27.61,84.68,10,4.3
2015,4,30,9,0,20.6,28.7,96.52,10,3.9
2015,4,30,17,34,40.2,27.59,85.74,10,3.9
2015,4,30,19,21,19,26.45,94.74,10,4.8
2015,4,30,20,19,1.2,26.46,92.69,37,3.9
2015,4,30,20,33,19.1,26.06,95.02,10,3.7
2015,5,1,4,39,20.1,28.25,85.82,10,3.5
2015,5,1,4,52,14.6,27.71,85.88,10,3.7
2015,5,1,8,58,40.5,10.88,91.89,7,5.2
2015,5,1,18,47,21.7,27.98,84.76,10,3.3
2015,5,1,22,10,16,27.8,85.7,10,3.8
2015,5,2,0,10,52,27.7,86.17,10,4.2
2015,5,2,1,3,13.5,27.73,85.82,10,4
2015,5,2,3,47,8.6,27.81,85.48,18,3.6
2015,5,2,5,35,47.7,28.04,84.7,10,4.9
2015,5,2,8,1,7.9,36.37,70.93,250,4.7
2015,5,2,9,41,13.8,28.34,85.11,39,3.8
2015,5,2,15,16,21.7,27.7,85.96,16,3.6
2015,5,2,21,44,11.1,27.73,85.86,10,4.4
2015,5,2,22,39,33,28,84.87,6,3.2
2015,5,3,2,15,30,27.69,84.74,10,3.7
2015,5,3,2,22,22.5,28,87.67,10,3.4
2015,5,3,11,35,10.8,27.98,85,10,4.3
2015,5,3,23,14,17.6,27.63,85.82,10,4
2015,5,4,1,15,8.6,27.44,85.89,10,4.5
2015,5,4,8,50,3,27.76,86.11,10,3.7
2015,5,4,12,17,15.6,27.53,85.92,10,3.9
2015,5,4,14,19,7.5,27.81,85.71,37,3.5
2015,5,5,0,54,5.5,28.04,84.92,10,3.5
2015,5,5,10,38,48.7,27.57,85.95,10,4.1
2015,5,5,11,15,43.9,27.83,85.89,10,3.8
2015,5,6,12,17,12.8,28.25,84.44,10,3.7
2015,5,6,12,35,36.5,28.6,86.56,10,3.3
2015,5,6,14,45,44.7,12.73,92.04,25,4.5
2015,5,6,15,13,22.7,27.43,85.46,10,3.5
2015,5,6,21,56,30,27.6,85.12,10,3.3
2015,5,7,3,13,52.5,36.34,70.72,80,4.2
2015,5,7,16,30,49.4,27.8,85.31,10,3.3
2015,5,7,20,34,48,27.87,85.57,10,3.7
2015,5,8,0,32,34.7,27.51,85.82,10,4.6
2015,5,8,5,8,26.7,29.11,76.85,6,3.3
2015,5,8,7,47,55.5,27.61,85.76,10,4.2
2015,5,8,21,23,29.6,28.01,85.13,7,3.6
2015,5,9,1,1,52.2,23.56,70.36,15,3.8
2015,5,10,0,49,53.5,27.76,85.88,10,3.7
2015,5,10,3,18,9.3,36.27,71.12,77,4.2
2015,5,10,3,47,15.3,36.27,70.11,150,4.5
2015,5,10,9,38,36.7,27.47,85.46,10,4.2
2015,5,10,14,17,37,27.66,85.74,10,3.3
2015,5,11,3,20,38.7,27.81,85.64,10,3.4
2015,5,11,14,51,2.7,28.25,85.89,10,3.7
2015,5,11,14,52,34,27.79,85.29,10,3.6
2015,5,11,20,17,47.7,36.04,70.71,150,4
2015,5,11,22,43,6,36.64,70.22,225,4.4
2015,5,12,6,10,49.7,37.79,68.64,52,4.4
2015,5,12,7,5,19.7,27.53,86.01,10,7.4
2015,5,12,7,17,23.2,28.11,86.32,22,5.4
2015,5,12,7,20,46.5,28.77,86.24,10,4.3
2015,5,12,7,22,26.1,27.64,86.24,10,4.3
2015,5,12,7,23,42,27.35,86.53,10,4.2
2015,5,12,7,36,54.7,27.27,86.04,10,6.2
2015,5,12,7,34,22.2,28.12,86.17,10,5.2
2015,5,12,7,51,28.6,27.83,85.93,10,4.2
2015,5,12,7,47,47.5,27.64,85.97,10,4.2
2015,5,12,7,43,15.1,27.63,85.98,10,4.3
2015,5,12,7,57,14.5,27.16,86.1,10,4.2
2015,5,12,8,6,8,27.1,85.79,10,4.6
2015,5,12,8,13,56,27.5,85.75,10,4.9
2015,5,12,8,21,11.6,27.52,86.04,10,4.9
2015,5,12,8,5,24.2,27.31,85.85,10,4.1
2015,5,12,8,59,41.2,27.55,86.19,10,4.2
2015,5,12,8,34,26,27.93,85.8,15,4.2
2015,5,12,8,39,8.3,27.57,85.85,10,4
2015,5,12,8,43,4,28.01,86.3,10,3.8
2015,5,12,8,48,51.7,27.37,85.97,10,3.4
2015,5,12,8,51,39.4,27.71,86.4,10,3.3
2015,5,12,9,2,12.8,28.44,86.4,10,4.1
2015,5,12,9,9,34.2,27.22,85.82,15,3.6
2015,5,12,9,14,36.5,28.93,86.52,10,3.5
2015,5,12,9,38,15.8,27.43,85.82,10,3.2
2015,5,12,9,21,20.1,29.52,87.77,10,3.3
2015,5,12,9,41,17.7,28.11,87.11,10,3.2
2015,5,12,9,44,33,27.85,85.49,10,3.4
2015,5,12,9,48,30.6,27.63,86,10,3.4
2015,5,12,9,55,59.2,27.42,86.21,10,3.3
2015,5,12,10,4,5,27.44,85.85,10,3.9
2015,5,12,10,15,9.8,27.24,86.06,10,4.1
2015,5,12,10,31,7.5,28.14,86.2,10,3.7
2015,5,12,10,35,43,27.49,86.03,10,4.5
2015,5,12,10,40,19.7,27.33,86.79,10,3.2
2015,5,12,10,41,31.2,28.3,86.39,10,4
2015,5,12,10,49,18.7,27.37,85.11,10,3.5
2015,5,12,10,53,19.1,28.35,86.03,10,3.7
2015,5,12,11,6,35.7,27.48,86.06,10,4
2015,5,12,11,13,23.5,27.57,85.83,10,4.2
2015,5,12,11,21,32.7,27.65,86.07,10,4.1
2015,5,12,11,26,57.2,28.07,86.23,10,3.2
2015,5,12,11,58,14.6,27.58,85.91,10,4.1
2015,5,12,12,28,25.7,27.51,85.92,10,4.2
2015,5,12,13,2,13.5,27.16,86.2,10,3.7
2015,5,12,13,10,46.9,28.56,86.41,10,3.5
2015,5,12,13,25,28,27.47,86.03,10,3.5
2015,5,12,13,8,13.1,27.37,85.78,10,3.9
2015,5,12,13,43,19.2,27.5,85.77,10,3.8
2015,5,12,13,47,6,27.97,85.77,10,3.5
2015,5,12,13,57,16,28.58,86.07,10,3.4
2015,5,12,13,59,1.6,27.22,86.25,10,3.5
2015,5,12,15,28,22.7,27.57,86.18,15,4.1
2015,5,12,15,59,46.9,27.42,86,11,3.4
2015,5,12,16,15,14.8,27.86,86.25,10,3.7
2015,5,12,16,32,11.5,27.6,86.14,10,4
2015,5,12,16,49,52.4,27.93,85.99,10,3.1
2015,5,12,16,55,25.7,27.67,85.91,10,3.9
2015,5,12,17,28,41.7,27.53,86.14,10,5.1
2015,5,12,18,49,9.3,27.49,86.39,10,3.6
2015,5,12,18,51,46.4,28.11,86.38,10,3.8
2015,5,12,19,35,1.2,27.56,86.06,10,3.7
2015,5,12,19,37,42.7,27.25,86.01,10,4.1
2015,5,12,20,22,17.2,27.22,85.14,10,3.8
2015,5,12,20,44,31.1,27.61,86.1,10,3.8
2015,5,12,21,13,3.4,27.56,85.82,10,3.4
2015,5,12,21,25,12.8,27.85,84.69,7,5.3
2015,5,12,21,57,16.1,27.82,85.94,10,3.7
2015,5,12,22,53,19.5,27.66,86.31,10,4.1
2015,5,13,2,23,12.1,27.47,86.13,10,4.2
2015,5,13,2,43,49.2,27.6,86.18,10,4.1
2015,5,13,4,48,6.5,27.77,86.13,10,3.8
2015,5,13,6,26,9.1,27.66,86.11,10,4.5
2015,5,13,6,37,32,27.64,86.06,10,4.5
2015,5,13,6,53,1.2,27.6,86.14,2,4.7
2015,5,13,8,45,58.7,28.03,86.37,10,4.1
2015,5,13,9,52,29.7,27.57,86.17,10,3.7
2015,5,13,10,59,45.7,27.45,86.03,10,4.2
2015,5,13,12,59,33,28.35,85.36,10,3.9
2015,5,13,15,36,18.6,27.73,85.58,10,3.8
2015,5,13,15,51,5,27.44,85.86,10,3.7
2015,5,13,18,31,4,27.7,86.14,10,4
2015,5,13,21,38,7,27.35,85.95,10,4.8
2015,5,14,3,7,11.1,27.6,86.07,10,4.3
2015,5,14,9,35,23.7,27.49,85.97,10,4.1
2015,5,14,14,36,44.9,27.61,85.17,39,3.6
2015,5,15,1,42,44,27.66,84.71,10,4.7
2015,5,15,9,24,16.7,27.52,86.1,8,3.7
2015,5,16,0,46,10,27.96,84.77,10,3.7
2015,5,16,3,39,29.1,27.5,85.72,10,4.6
2015,5,16,8,36,15.3,31.7,69.11,10,4.4
2015,5,16,11,34,11.8,27.42,86.06,10,5.7
2015,5,16,16,23,45.7,27.3,86.11,10,3.9
2015,5,16,20,2,55.7,28.03,84.89,10,3.1
2015,5,16,23,15,27.5,27.53,86.01,10,4.3
2015,5,17,5,45,40.4,27.27,85.79,10,4.2
2015,5,17,9,10,7.8,30.27,69.44,10,4.5
2015,5,17,14,55,4.5,27.41,86.14,10,3.9
2015,5,17,19,59,59.5,29.32,69.04,10,4
2015,5,18,12,16,19.7,28.41,85.33,10,3.6
2015,5,18,12,18,42.9,36.53,71.07,150,4.1
2015,5,18,12,42,12.3,28.04,84.81,10,3.7
2015,5,18,13,5,33.5,8.37,93.15,10,3.8
2015,5,18,16,46,34.9,34.38,73.58,10,4
2015,5,18,22,49,51.5,27.56,85.93,10,4.2
2015,5,19,10,59,32.2,27.86,85.99,10,4.1
2015,5,20,9,2,39,27.51,85.17,10,4.1
2015,5,20,8,54,29.5,36.24,71.38,100,4
2015,5,21,8,26,45.2,27.83,86.26,10,3.8
2015,5,21,9,11,58.9,27.79,85.31,10,3.3
2015,5,21,12,43,35.4,22.91,96.07,10,3.4
2015,5,22,1,55,6.5,36.33,70.14,200,4.5
2015,5,22,10,59,36,28.13,85.11,10,4.3
2015,5,22,11,45,50.2,27.66,86.19,10,4.1
2015,5,22,13,4,7.8,27.8,85.87,10,4
2015,5,22,19,7,43.5,29.78,81.68,10,3.9
2015,5,22,20,11,36.7,24.69,93.29,16,3.8
2015,5,23,11,53,57.7,30.42,79.23,6,3.4
2015,5,24,1,12,11,26.37,93.47,39,3.3
2015,5,24,17,30,39.4,28.24,86.43,10,3.6
2015,5,24,21,38,42.7,27.88,84.61,10,4.1
2015,5,25,5,15,44.5,28.24,86.31,16,3.7
2015,5,25,10,46,0.2,28.44,87.34,10,4.2
2015,5,25,15,59,7.8,22.27,93.88,33,3.5
2015,5,26,14,15,33.9,27.73,85.44,10,3.6
2015,5,26,17,7,15.3,27.95,85.11,10,4.4
2015,5,26,17,24,13.1,24.37,94.03,65,4.4
2015,5,27,6,18,37.7,27.57,86.12,10,4
2015,5,27,7,30,45.5,27.82,85.46,10,4.2
2015,5,27,16,45,1,27.92,85.03,10,3.9
2015,5,28,1,29,3.2,37.35,72.2,150,4.1
2015,5,28,11,46,28.2,28.17,93.39,10,4.1
2015,5,28,15,19,21.7,25.76,90.99,15,3.6
2015,5,28,23,35,56,28,84.89,10,3.3
2015,5,29,3,57,53.2,26.16,90.03,18,4
2015,5,29,6,45,34.5,27.76,84.72,10,4
2015,5,29,10,0,1.7,27.76,84.74,10,4.6
2015,5,29,13,11,20.5,29.45,85.59,10,3.3
2015,5,30,0,4,46.2,34.87,91.13,10,4
2015,5,30,16,28,21.7,27.69,85,10,4
2015,5,30,16,44,12.1,36.72,70.65,182,4.7
2015,6,1,7,12,4.5,26.54,96.18,114,4
2015,6,1,14,41,1.2,36.39,70.1,80,5
2015,6,1,23,30,29.1,37.83,72.88,126,5.3
2015,6,2,6,34,14.3,28.65,77.79,17,3.6
2015,6,2,17,58,59.7,37.98,73.67,38,3.7
2015,6,2,20,33,8.3,30,81.83,10,4.3
2015,6,2,22,9,10,25.77,89.92,10,3.6
2015,6,3,7,52,37.5,27.66,85.74,10,3.8
2015,6,3,11,28,25.7,30.44,79.25,5,4.3
2015,6,4,6,52,54,36.85,70.1,260,4.7
2015,6,4,13,43,31.2,27.53,92.92,10,3.1
2015,6,7,5,17,46.9,27.69,85.54,10,4.2
2015,6,7,19,47,27.7,18.99,94.61,50,4
2015,6,8,3,28,8.6,36.64,70.88,220,4.8
2015,6,8,15,21,18.2,6.94,92.37,30,3.9
2015,6,11,4,17,46.9,27.68,85.72,10,4
2015,6,11,16,12,19.6,27.79,85.65,10,4.4
2015,6,11,19,37,8.1,28.28,84.82,10,3.7
2015,6,12,0,24,23.7,22.98,94.29,90,4
2015,6,12,4,34,8.8,27.62,86.04,10,4.1
2015,6,12,8,51,57,35.91,69.92,90,4
2015,6,12,18,29,28.7,14.03,93.67,35,5.3
2015,6,13,1,18,30.2,27.55,86.04,10,4.5
2015,6,14,6,9,57.5,36.4,71.28,150,4.3
2015,6,14,7,47,48,28,85.74,10,4
2015,6,14,7,47,46.5,28.06,85.8,10,4.1
2015,6,14,13,12,17.1,36.53,70.01,200,4
2015,6,15,14,21,14.6,37.21,71.72,33,4
2015,6,15,21,39,19.7,22.26,94.12,60,4.3
2015,6,17,0,13,21.7,27.5,85.03,10,3.8
2015,6,17,0,30,0.1,27.51,85.46,10,4.1
2015,6,17,2,15,15.8,28.24,85.93,10,4.3
2015,6,18,1,31,56.5,36.33,70.66,100,4.3
2015,6,18,11,28,20.2,28.37,70.5,10,4
2015,6,18,14,36,3.2,22.8,92.17,10,3.6
2015,6,19,7,12,45.2,36.55,70.32,150,4.3
2015,6,20,12,23,7,28.48,82.73,10,4.5
2015,6,20,18,46,50.5,37.83,72.03,200,4.3
2015,6,21,13,41,48.5,27.67,85.98,11,3.9
2015,6,22,7,34,34.5,27.65,86.17,10,3.7
